,WholeTumor,TumorCore,EnhancingTumor
Brats17_CBICA_AAG_1,0.3144351367612348,0.06745123678762123,0.008975049362771496
Brats17_CBICA_AAL_1,0.07859672794737729,0.00324286217835742,0.0
Brats17_CBICA_AAP_1,0.3393155483697117,0.054922701383238404,0.01645179150518073
Brats17_CBICA_ABB_1,0.0017865732151446437,0.0008879847589525009,0.00030114812723508374
Brats17_CBICA_ABN_1,0.03733610028423326,0.01093665147687295,0.0014259981987391173
Brats17_CBICA_ABO_1,0.16597986756053057,0.0815356984222012,0.06303819496534549
Brats17_CBICA_ASW_1,0.17851106459664873,0.13720826519994053,0.09859719438877755
Brats17_CBICA_AWG_1,0.2762723905211346,0.19914724457410315,0.0317125748502994
Brats17_CBICA_AXJ_1,0.41969974483006933,0.21535713185696245,0.008799048751486327
Brats17_CBICA_AXN_1,0.07480006272541947,0.035083647117484226,0.01245549640113312
Brats17_CBICA_AXQ_1,0.13727696511814821,0.08092020129403307,0.024696645253390437
Brats17_CBICA_AXW_1,0.09278226292324376,0.014114968696642003,0.0005854229680944482
Brats17_CBICA_AYU_1,0.0,0.0,0.0
Brats17_CBICA_AZD_1,0.1270014159677595,0.22565320665083136,0.0656
Brats17_CBICA_BFB_1,0.0,0.0,0.0
Brats17_CBICA_BHB_1,0.0004281083725766008,0.0,0.0
Brats17_CBICA_BHK_1,0.0,0.0,0.0
Brats17_TCIA_105_1,0.14355296297368497,0.09497938356670126,0.04905622690502347
Brats17_TCIA_113_1,0.24811761651304687,0.07700655663576758,0.0
Brats17_TCIA_117_1,0.2489249293525003,0.1984076326132966,0.07672862453531598
Brats17_TCIA_131_1,0.03079218020481809,0.010926851869727215,0.009557763786694986
Brats17_TCIA_133_1,0.0,0.0,0.0
Brats17_TCIA_138_1,0.2990174512391846,0.23522703947818552,0.14585983738038608
Brats17_TCIA_147_1,0.30186490961197443,0.2445463306369185,0.19447146562905318
Brats17_TCIA_149_1,0.0,0.0,0.0
Brats17_TCIA_151_1,0.11399498187900753,0.05197797055541557,0.018426416632694658
Brats17_TCIA_162_1,0.0,0.0,0.0
Brats17_TCIA_165_1,0.0,0.0,0.0
Brats17_TCIA_167_1,0.0,0.0,0.0
Brats17_TCIA_171_1,0.04284978812720288,0.006943066851815116,0.0
Brats17_TCIA_180_1,0.4288293563655883,0.35775448221808565,0.02205711632226608
Brats17_TCIA_186_1,0.32496779426499356,0.2193887610910286,0.08031088082901554
Brats17_TCIA_192_1,0.2537280749775549,0.05534044763433752,0.0514919264826252
Brats17_TCIA_199_1,0.4229327816753613,0.21431873720361933,0.1557082955085808
Brats17_TCIA_201_1,0.0,0.0,0.0
Brats17_TCIA_211_1,0.09057749180869262,0.04605843016439043,0.05468696348861165
Brats17_TCIA_218_1,0.23364586992353212,0.040136202274867784,0.019619351052234425
Brats17_TCIA_222_1,0.1495581023972592,0.07516943062854889,0.06786778650772149
Brats17_TCIA_234_1,0.21828390640753745,0.016300717053400436,0.0
Brats17_TCIA_235_1,0.07942539294079365,0.02675101068035772,0.009755680116383553
Brats17_TCIA_247_1,0.2665874499799046,0.18249721293199553,0.10978827031049178
Brats17_TCIA_265_1,2.544184765966804e-05,4.251316579603246e-05,0.0
Brats17_TCIA_309_1,0.1362615963000027,0.07123964027508375,0.05639841688654353
Brats17_TCIA_314_1,8.195041999590248e-05,0.00016954899966090201,0.0
Brats17_TCIA_319_1,0.0002730530309367161,1.0843046896177826e-05,0.0
Brats17_TCIA_321_1,0.16666666666666666,0.1800358341742694,0.15623354670657022
Brats17_TCIA_322_1,0.00046816479400749064,0.0,0.0
Brats17_TCIA_328_1,0.0,0.0,0.0
Brats17_TCIA_331_1,0.0,0.0,0.0
